Time,Air Flow Rate,HF-N,HF-E,HF-S,HF-W,NG Flow Rate,HRR_ideal,HRR_cal,K_smoke,T_duct,rho_duct,V_duct,MF_duct,O2_duct_dry,CO2_duct_dry,CO_duct_dry,H2O_duct,H2O_amb,RH,T_amb,Hydrogen Cyanide,U_Hydrogen Cyanide,Sulfur Dioxide,U_Sulfur Dioxide,Hydrogen Chloride,U_Hydrogen Chloride,Hydrogen Fluoride,U_Hydrogen Fluoride,Hydrogen Bromide,U_Hydrogen Bromide,Acrolein,U_Acrolein,Formaldehyde,U_Formaldehyde,Nitric Oxide,U_Nitric Oxide,Nitrogen Dioxide,U_Nitrogen Dioxide,Ammonia,U_Ammonia,Methane,U_Methane,Water_%,U_Water_%,Ethene,U_Ethene,Propene,U_Propene,Carbon Dioxide_Low,U_Carbon Dioxide_Low,Ethane,U_Ethane,Propane,U_Propane,Acetylene,U_Acetylene,"1,3-Butadiene","U_1,3-Butadiene",IsoButene,U_IsoButene,n-Pentane,U_n-Pentane,Ethanol,U_Ethanol,Nitrous Oxide,U_Nitrous Oxide,NOx,U_NOx
s,L/min,kW/m2,kW/m2,kW/m2,kW/m2,L/min,kW,kW,1/m,C,kg/m3,m/s,kg/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,%,C,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
-10,0.0,0.007,0.007,-0.002,0.004,0.7,0.4,0.2,0.000781,20.0,1.20,9.33,2.04,0.209442,0.000442,0.000002,0.00775,0.012647,45.0,25.7,-0.042,0.282,3.414,14.999,0.001,0.347,-1.189,0.731,0.027,0.183,-3.414,8.803,-0.002,0.153,-0.323,2.507,-0.239,3.413,0.050,0.103,1.289,2.187,1.000,0.085,-0.066,0.104,0.277,0.367,497.121,8.592,-0.044,0.192,1.976,0.235,-3.180,8.809,-0.032,0.248,-0.007,0.187,-0.088,0.103,0.122,0.097,0.301,0.051,-0.561,0.000
0,0.0,0.007,0.008,0.006,0.006,1.2,0.7,0.1,0.000758,20.0,1.19,9.27,2.03,0.209442,0.000445,0.000002,0.007753,0.012647,45.0,25.7,-0.015,0.006,-0.153,0.018,0.047,0.011,0.078,-0.086,0.043,-0.003,0.290,-0.067,-0.034,0.001,0.075,-0.018,-0.579,-0.024,-0.018,-0.004,-0.114,0.033,-0.008,0.002,0.014,-0.002,0.125,-0.008,7.603,0.025,0.070,-0.001,1.267,-0.002,0.005,0.003,-0.057,-0.002,-0.032,-0.002,-0.070,-0.001,0.021,0.002,-0.008,0.004,-0.504,0.000
10,0.0,0.383,0.354,0.123,0.122,131.1,77.6,1.3,0.001298,23.6,1.18,9.43,2.04,0.209405,0.000461,0.000002,0.00777,0.012582,45.0,25.7,0.009,0.003,0.072,-0.201,-0.039,0.001,-0.177,0.039,-0.005,0.002,-0.685,0.084,-0.015,-0.001,0.163,0.004,0.715,-0.038,-0.007,-0.002,0.229,-0.009,0.007,0.001,0.024,-0.003,-0.100,-0.011,155.130,3.145,0.034,0.002,0.554,0.002,-0.004,-0.001,-0.025,-0.001,0.008,-0.001,-0.024,0.001,0.004,0.000,-0.016,0.004,0.878,0.000
20,0.0,0.268,0.261,0.083,0.086,83.4,49.4,0.6,0.000993,28.9,1.16,9.57,2.03,0.209423,0.000474,0.000002,0.007844,0.012594,45.0,25.7,0.001,0.008,0.023,-0.018,-0.072,-0.019,-0.034,0.110,0.022,0.003,-1.241,0.202,-0.033,0.002,0.080,0.028,-0.597,0.076,-0.001,0.001,0.208,0.060,0.032,0.002,-0.014,0.002,-0.157,0.009,371.762,7.000,0.036,0.004,0.220,0.005,0.131,0.077,-0.016,-0.002,-0.079,-0.001,-0.006,0.002,0.008,0.000,-0.003,0.000,-0.516,0.000
30,0.0,0.305,0.311,0.097,0.094,84.9,50.3,52.4,0.001314,30.9,1.15,9.49,2.00,0.20771,0.001579,0.000002,0.008474,0.012655,45.0,25.7,-0.012,0.009,0.102,0.268,0.012,0.022,-0.025,0.071,0.005,0.001,0.356,0.119,-0.005,0.002,0.246,0.104,0.701,0.107,0.011,0.002,-0.067,0.076,0.050,0.003,-0.017,0.000,0.014,0.001,423.713,8.155,0.033,0.003,-0.011,0.003,0.116,0.161,0.037,0.006,-0.036,0.004,-0.003,0.001,0.008,0.000,-0.004,0.000,0.947,0.000
40,0.0,0.312,0.317,0.099,0.096,88.8,52.6,54.3,0.001583,32.3,1.15,9.43,1.98,0.2077,0.001387,0.000002,0.008925,0.012609,45.0,25.7,-0.037,0.016,0.250,0.306,-0.030,0.001,-0.080,0.010,0.011,0.007,0.654,0.227,0.045,0.000,0.102,0.111,0.612,0.008,0.020,-0.002,-0.268,0.134,0.057,0.005,0.013,0.001,0.015,0.004,446.488,8.815,-0.020,0.005,-0.085,0.006,0.137,0.240,0.011,0.001,-0.010,0.001,0.002,0.003,0.019,0.003,0.001,0.004,0.714,0.000
50,0.0,0.313,0.299,0.103,0.092,83.9,49.7,52.8,0.001195,33.3,1.14,9.48,1.98,0.20773,0.001381,0.000002,0.009107,0.012639,45.0,25.7,-0.038,0.018,0.016,0.355,0.050,-0.017,0.025,-0.075,-0.003,0.005,-0.791,0.248,0.036,0.003,0.311,0.155,0.335,0.042,0.020,-0.003,-0.244,0.160,0.087,0.006,0.009,-0.002,-0.045,-0.006,460.800,9.175,-0.023,0.005,-0.169,0.007,0.107,0.249,0.036,0.003,-0.079,0.002,0.006,0.003,0.025,0.002,-0.003,0.002,0.646,0.000
60,0.0,0.312,0.294,0.100,0.096,83.7,49.6,52.9,0.001398,34.0,1.14,9.57,2.00,0.207698,0.001394,0.000002,0.009199,0.012638,45.0,25.7,-0.007,0.011,0.086,0.482,0.012,0.004,-0.124,0.000,0.035,0.007,-0.193,0.238,0.016,0.004,0.177,0.117,0.087,0.013,0.012,-0.001,-0.310,0.175,0.097,0.004,0.023,0.000,-0.144,0.000,459.775,9.322,-0.041,0.005,-0.155,0.006,0.110,0.268,-0.051,-0.006,0.005,-0.005,0.017,0.003,0.005,0.000,-0.005,0.007,0.265,0.000
70,0.0,0.301,0.297,0.107,0.096,83.8,49.6,53.6,0.001522,35.0,1.14,9.65,2.01,0.20769,0.001401,0.000002,0.009255,0.012626,45.0,25.7,-0.003,0.028,0.088,0.410,0.103,0.016,0.008,-0.001,-0.027,0.005,0.152,0.346,-0.010,0.005,0.196,0.141,0.633,0.023,-0.044,0.007,-0.204,0.190,0.085,0.009,0.008,0.000,-0.034,0.001,478.775,9.514,-0.035,0.008,-0.162,0.009,0.132,0.283,0.010,-0.015,-0.021,-0.012,-0.001,0.004,0.022,0.001,-0.003,0.003,0.830,0.000
80,0.0,0.306,0.300,0.103,0.094,83.8,49.6,54.8,0.001642,35.2,1.14,9.58,1.99,0.207657,0.001427,0.000002,0.0093,0.012713,45.0,25.7,0.020,0.032,0.019,0.482,0.034,0.019,-0.093,0.017,0.027,0.002,1.036,0.220,-0.007,0.005,0.227,0.115,0.360,0.077,-0.026,0.003,-0.233,0.208,0.098,0.010,0.017,0.000,-0.094,-0.002,472.388,9.310,-0.037,0.005,-0.188,0.006,0.121,0.312,0.052,-0.003,0.002,-0.002,0.005,0.003,-0.005,0.001,0.000,-0.002,0.587,0.000
90,0.0,0.313,0.301,0.100,0.098,83.9,49.7,56.4,0.001249,35.6,1.13,9.63,2.00,0.207602,0.001451,0.000002,0.009343,0.012735,45.0,25.7,-0.043,0.029,-0.013,0.505,0.065,-0.035,0.013,0.021,0.061,0.001,-0.376,0.158,0.018,0.003,0.037,0.167,0.090,0.112,-0.004,0.002,-0.159,0.205,0.084,0.009,-0.007,0.001,-0.037,0.005,468.388,9.112,-0.012,0.003,-0.194,0.004,0.109,0.271,0.055,0.003,-0.011,0.003,-0.005,0.002,0.017,0.002,-0.005,0.008,0.126,0.000
100,0.0,0.305,0.304,0.096,0.097,88.6,52.5,53.7,0.00133,35.8,1.13,9.58,1.99,0.207685,0.001413,0.000002,0.009345,0.012695,45.0,25.7,0.044,0.012,-0.029,0.499,-0.051,-0.003,-0.082,-0.018,0.005,0.003,0.269,0.166,0.009,0.003,0.205,0.183,-0.372,-0.001,0.005,-0.005,-0.285,0.162,0.100,0.004,0.001,-0.001,0.089,-0.005,467.425,9.252,-0.023,0.004,-0.215,0.004,0.086,0.291,-0.014,0.004,-0.053,0.003,0.005,0.002,0.052,0.003,-0.011,-0.004,-0.167,0.000
110,0.0,0.316,0.301,0.115,0.100,89.7,53.1,53.5,0.001379,36.2,1.13,9.58,1.99,0.207689,0.001409,0.000002,0.009345,0.012654,45.0,25.7,-0.010,0.012,0.090,0.520,0.014,0.016,-0.126,0.036,0.006,0.003,-1.463,0.185,0.000,0.002,0.274,0.179,0.140,0.005,-0.022,0.001,-0.194,0.193,0.103,0.004,-0.004,-0.002,0.089,-0.007,468.513,9.077,0.021,0.004,-0.172,0.005,0.102,0.286,-0.071,-0.005,-0.049,-0.004,-0.010,0.002,0.046,0.001,-0.004,0.003,0.414,0.000
120,0.0,0.307,0.304,0.119,0.099,85.9,50.8,54.5,0.001765,36.5,1.13,9.68,2.01,0.207655,0.001418,0.000002,0.009359,0.012612,45.0,25.7,-0.015,0.023,-0.014,0.579,0.014,0.022,-0.314,0.052,-0.016,0.006,0.859,0.219,-0.017,0.006,0.293,0.181,-0.220,-0.033,-0.048,-0.004,-0.335,0.156,0.095,0.007,0.001,-0.002,0.031,-0.009,468.787,8.977,-0.007,0.005,-0.213,0.006,0.141,0.289,-0.015,0.000,0.012,0.000,0.004,0.003,0.032,0.002,-0.012,0.003,0.072,0.000
130,0.0,0.311,0.300,0.114,0.103,83.6,49.5,54.0,0.001481,36.5,1.13,9.62,1.99,0.207669,0.001418,0.000002,0.009372,0.012595,45.0,25.7,0.007,0.017,0.136,0.537,0.071,-0.007,0.021,-0.020,-0.047,0.004,0.070,0.119,0.011,0.005,0.413,0.169,-0.610,-0.017,-0.002,-0.001,-0.437,0.180,0.089,0.005,-0.005,0.000,-0.091,-0.002,463.950,8.826,-0.039,0.003,-0.201,0.003,0.109,0.288,-0.056,0.003,-0.034,0.003,-0.002,0.001,0.035,0.001,-0.004,0.001,-0.197,0.000
